STATION,LINENAME
BARCLAYS CENTER,2345BDNQR
BAY 50 ST,D
BAY PARKWAY,D
BAY PKWY,F
BAY PKWY,D
BAY PKWY,N
BAY PKY-22 AVE,N
BAY RIDGE AV,R
BAY RIDGE AVE,R
BAY RIDGE-95 ST,R
BAYCHESTER AV,5
BAYCHESTER AVE,5
BEACH 105 ST,AS
BEACH 25 ST,A
BEACH 36 ST,A
BEACH 44 ST,A
BEACH 60 ST,A
BEACH 67 ST,A
BEACH 90 ST,AS
BEACH 98 ST,AS
BEDFORD AV,L
BEDFORD AVE,L
BEDFORD PARK BL,BD
BEDFORD PARK BL,4
BEDFORD PK BLVD,4
BEDFORD PK BLVD,BD
BEDFORD-NOSTRAN,G
BEDFORD/NOSTRAN,G
BEEBE-39 AVE,NQ
BERGEN ST,FG
BERGEN ST,23
BEVERLEY ROAD,BQ
BEVERLY RD,25
BEVERLY ROAD,25
BLEECKER ST,6DF
BOROUGH HALL,R2345
BOROUGH HALL,2345R
BOROUGH HALL/CT,R2345
BOROUGH HALL/CT,2345R
BOTANIC GARDEN,S2345
BOWERY,JZ
BOWLING GREEN,45
BOYD-88 ST,A
BRIARWOOD,EF
BRIGHTON BEACH,BQ
BROAD CHANNEL,AS
BROAD ST,JZ
BROADWAY,NQ
BROADWAY,G
BROADWAY,NQW
BROADWAY JCT,ACJLZ
BROADWAY-31 ST,NQ
BROADWAY-ENY,ACJLZ
BROADWAY/LAFAY,BDFQ6
BRONX PARK EAST,25
BROOK AV,6
BROOK AVE,6
BROOKLYN BRIDGE,456JZ
BUHRE AV,6
BUHRE AVE,6
BURKE AV,25
BURKE AVE,25
BURNSIDE AV,4
BURNSIDE AVE,4
BUSHWICK AV,L
BUSHWICK AVE,L
CANAL ST,ACE
CANAL ST,JNQRZ6
CANAL ST,1
CANAL ST,JNQRZ6W
CANARSIE-ROCKAW,L
CARROLL ST,FG
CASTLE HILL AV,6
CASTLE HILL AVE,6
CATHEDRAL PKWY,BC
CATHEDRAL PKWY,1
CATHEDRL-110 ST,BC
CENTRAL AV,M
CENTRAL AVE,M
CENTRAL PK N110,23
CHAMBERS ST,123
CHAMBERS ST,ACE23
CHAMBERS ST,JZ456
CHAUNCEY ST,JZ
CHRISTOPHER ST,1
CHURCH AV,25
CHURCH AV,FG
CHURCH AV,BQ
CHURCH AVE,FG
CHURCH AVE,BQ
CHURCH AVE,25
CITY HALL,R
CITY HALL,NRW
CLARK ST,23
CLASSON AV,G
CLASSON AVE,G
CLEVELAND ST,J
CLINTON-WASH AV,C
CLINTON-WASH AV,G
CONEY IS-STILLW,DFNQ
CORTELYOU RD,BQ
CORTELYOU ROAD,BQ
CORTLANDT ST,RNW
CORTLANDT ST,1
CORTLANDT ST,R
COURT SQ,7
COURT SQ,EMG
COURT SQ-23 ST,EMG
CRESCENT ST,JZ
CROWN HTS-UTICA,34
CYPRESS AV,6
CYPRESS AVE,6
CYPRESS HILLS,J
DEKALB AV,L
DEKALB AV,BDNQR
DEKALB AVE,BDNQR
DEKALB AVE,L
DELANCEY ST,FJMZ
DELANCEY/ESSEX,FJMZ
DITMARS BL-31 S,NQ
DITMAS AV,F
DITMAS AVE,F
DYCKMAN ST,A
DYCKMAN ST,1
DYCKMAN-200 ST,A
DYRE AVE,5
E 143 ST,6
E 143/ST MARY'S,6
E 149 ST,6
E 177 ST-PARKCH,6
E 180 ST,25
E TREMONT AVE,25
EAST 105 ST,L
EAST BROADWAY,F
EASTCHSTER/DYRE,5
EASTERN PKWY,23
EASTN PKWY-MUSM,23
ELDER AV,6
ELDER AVE,6
ELDERTS LANE,JZ
ELMHURST AV,MR
ELMHURST AVE,MR
ESSEX ST,FJMZ
EUCLID AV,AC
EUCLID AVE,AC
FAR ROCKAWAY,A
FLATBUSH AV-B.C,25
FLATBUSH AVE,25
FLUSHING AV,JM
FLUSHING AV,G
FLUSHING AVE,G
FLUSHING AVE,JM
FLUSHING-MAIN,7
FORDHAM RD,BD
FORDHAM RD,4
FORDHAM ROAD,4
FORDHAM ROAD,BD
FOREST AVE,M
FOREST HILLS 71,EFMR
FOREST HILLS-71,EFMR
FOREST PARKWAY,J
FRANKLIN AV,ACS
FRANKLIN AV,2345S
FRANKLIN AVE,2345S
FRANKLIN AVE,ACS
FRANKLIN ST,1
FREEMAN ST,25
FRESH POND RD,M
FRESH POND ROAD,M
FT HAMILTON PKY,N
FT HAMILTON PKY,D
FT HAMILTON PKY,FG
FULTON ST,ACJZ2345
FULTON ST,G
FULTON ST,2345ACJZ
GATES AV,JZ
GATES AVE,JZ
GRAHAM AV,L
GRAHAM AVE,L
GRAND ARMY PLAZ,23
GRAND AV-NEWTON,MR
GRAND ST,BD
GRAND ST,L
GRAND-30 AVE,NQ
GRAND-NEWTOWN,MR
GRANT AV,A
GRANT AVE,A
GRD CNTRL-42 ST,4567S
GREENPOINT AV,G
GREENPOINT AVE,G
GREENWOOD-111,A
GUN HILL RD,5
GUN HILL RD,25
GUN HILL ROAD,5
GUN HILL ROAD,25
HALSEY ST,J
HALSEY ST,L
HARLEM 148 ST,3
HEWES ST,JM
HIGH ST,AC
HOUSTON ST,1
HOWARD BCH JFK,A
HOWARD BCH-JFK,A
HOYT ST,23
HOYT ST-ASTORIA,NQ
HOYT-SCHER,ACG
HOYT/SCHERMER,ACG
HUDSON-80 ST,A
HUNTERS PT AV,7
HUNTERS PT AVE,7
HUNTS POINT AV,6
HUNTS POINT AVE,6
INTERVALE AV,25
INTERVALE-163,25
INWOOD-207 ST,A
JACKSON AV,25
JACKSON AVE,25
JAMAICA 179 ST,F
JAMAICA CENTER,EJZ
JAMAICA VAN WK,E
JAMAICA-179 ST,F
JAMAICA-VAN WYC,E
JAY ST-METROTEC,R
JAY ST-METROTEC,ACF
JEFFERSON ST,L
JFK HOWARD BCH,A
JFK JAMAICA CT1,E
JKSN HT-ROOSVLT,EFMR7
JUNCTION BLVD,7
JUNIUS ST,3
KEW GARDENS,EF
KINGS HIGHWAY,BQ
KINGS HIGHWAY,F
KINGS HIGHWAY,N
KINGS HWY,BQ
KINGS HWY,N
KINGS HWY,F
KINGSBRIDGE RD,4
KINGSBRIDGE RD,BD
KINGSTON AV,3
KINGSTON AVE,3
KINGSTON-THROOP,C
KNICKERBOCKER,M
KOSCIUSZKO ST,J
LAFAYETTE AV,C
LAFAYETTE AVE,C
LEFFERTS BLVD,A
LEXINGTON AV/53,EM6
LEXINGTON AV/63,F
LEXINGTON AVE,F
LEXINGTON AVE,NQR456
LEXINGTON-53 ST,EM6
LIBERTY AV,C
LIBERTY AVE,C
LIVONIA AV,L
LIVONIA AVE,L
LONGWOOD AV,6
LONGWOOD AVE,6
LORIMER ST,LG
LORIMER ST,JM
MAIN ST,7
MARBLE HILL-225,1
MARCY AV,JMZ
MARCY AVE,JMZ
METROPOLITAN AV,GL
METROPOLITAN AV,M
METS-WILLETS PT,7
MIDDLETOWN RD,6
MIDDLETOWN ROAD,6
MONTROSE AV,L
MONTROSE AVE,L
MORGAN AV,L
MORGAN AVE,L
MORISN AV/SNDVW,6
MORRIS PARK,5
MORRISON AVE,6
MOSHOLU PARKWAY,4
MOSHOLU PKWY,4
MT EDEN AV,4
MT EDEN AVE,4
MYRTLE AV,JMZ
MYRTLE AVE,JMZ
MYRTLE AVE,LM
MYRTLE-WILLOUGH,G
MYRTLE-WYCKOFF,LM
NASSAU AV,G
NASSAU ST,G
NECK RD,BQ
NECK ROAD,BQ
NEPTUNE AV,F
NEPTUNE AVE,F
NEREID AV,25
NEREID AVE,25
NEVINS ST,2345
NEW LOTS,L
NEW LOTS AV,3
NEW LOTS AVE,L
NEW LOTS AVE,3
NEW UTRECHT AV,ND
NEW UTRECHT AVE,ND
NEWKIRK AV,25
NEWKIRK AVE,25
NEWKIRK PLAZA,BQ
NORTHERN BLVD,MR
NORWOOD 205 ST,D
NORWOOD AV,JZ
NORWOOD AVE,JZ
NORWOOD-205 ST,D
NOSTRAND AV,AC
NOSTRAND AV,3
NOSTRAND AVE,3
NOSTRAND AVE,AC
OCEAN PARKWAY,Q
OCEAN PKWY,Q
OXFORD-104 ST,A
OZONE PK LEFFRT,A
PARK PLACE,23ACE
PARK PLACE,S
PARKCHESTER,6
PARKSIDE AV,BQ
PARKSIDE AVE,BQ
PARSONS BLVD,F
PELHAM BAY PARK,6
PELHAM PARKWAY,25
PELHAM PARKWAY,5
PELHAM PKWY,25
PELHAM PKWY,5
PENNSYLVANIA AV,3
PRESIDENT ST,25
PRINCE ST,NR
PRINCE ST,NRW
PRINCE ST-B'WAY,NR
PROSPECT AV,25
PROSPECT AV,R
PROSPECT AVE,R
PROSPECT AVE,25
PROSPECT PARK,BQS
QUEENS PLAZA,EMR
QUEENSBORO PLZ,7NQW
QUEENSBORO PLZ,7NQ
RALPH AV,C
RALPH AVE,C
RECTOR ST,R
RECTOR ST,1
RECTOR ST,NRW
ROCKAWAY AV,3
ROCKAWAY AV,C
ROCKAWAY AVE,C
ROCKAWAY AVE,3
ROCKAWAY BLVD,A
ROCKAWAY PARK B,AS
ROCKAWAY PK 116,AS
ROCKAWAY PKY,L
ROOSEVELT AVE,EFMR7
ROOSEVELT IS,F
ROOSEVELT ISLND,F
SARATOGA AV,3
SARATOGA AVE,3
SENECA AVE,M
SHEEPSHEAD BAY,BQ
SHEPHERD AV,C
SHEPHERD AVE,C
SIMPSON ST,25
SMITH-9 ST,FG
SOUTH FERRY,1R
SOUTH FERRY,1RW
SPRING ST,CE
SPRING ST,6
ST LAWRENCE AV,6
ST LAWRENCE AVE,6
STEINWAY ST,MR
STERLING ST,25
STILLWELL AVE,DFNQ
SUTPHIN BLVD,F
SUTPHIN BLVD,EJZ
SUTPHIN-ARCHER,EJZ
SUTPHIN-ARCHER,E
SUTTER AV,L
SUTTER AV-RUTLD,3
SUTTER AVE,3
SUTTER AVE,L
TIMES SQ-42 ST,1237ACENQRSW
TIMES SQ-42 ST,ACENQRS1237
TIMES SQ-42 ST,ACENQRS1237W
TIMES SQ-42 ST,1237ACENQRS
TREMONT AV,BD
TREMONT AVE,BD
UNION ST,R
UNION TPK-KEW G,EF
UTICA AV,AC
UTICA AVE,AC
V.CORTLANDT PK,1
VAN ALSTON-21ST,G
VAN SICLEN AV,3
VAN SICLEN AV,JZ
VAN SICLEN AVE,3
VAN SICLEN AVE,JZ
VAN SICLEN AVE,C
VAN WYCK BLVD,EF
VERNON-JACKSON,7
VERNON/JACKSON,7
W 4 ST-WASH SQ,ABCDEFM
W 8 ST-AQUARIUM,FQ
WAKEFIELD-241,2
WAKEFIELD/241,2
WALL ST,23
WALL ST,45
WASHINGTON-36 A,NQ
WEST FARMS SQ,25
WESTCHESTER SQ,6
WHITEHALL S-FRY,R1
WHITEHALL S-FRY,R1W
WHITEHALL ST,R1
WHITLOCK AV,6
WHITLOCK AVE,6
WILSON AV,L
WILSON AVE,L
WINTHROP ST,25
WOODHAVEN BLVD,MR
WOODHAVEN BLVD,JZ
WOODLAWN,4
WOODLAWN ROAD,4
WORLD TRADE CTR,ACE23
WTC-CORTLANDT,1
YORK ST,F
ZEREGA AV,6
ZEREGA AVE,6
